cep_inicial;cep_final
11461120;11461120
76898000;76899999
14835000;14839999
6400000;6400999
28470000;28470999
86350000;86359999
42600000;42600999
18110000;18119999
79700000;79700999
13390000;13399999
9400000;9449999
12525000;12529999
2543000;2543999
18640000;18649999
11355430;11360070
64512000;64513999
25700000;25779999
69970001;69974999
83260000;83279999
47960000;47969999
87360000;87364999
39560000;39562999
96950000;96989999
10000000;10999999
45360000;45364999
65700000;65703999
11330186;11330186
95255000;95259999
95660000;95669999
77460000;77462999
76465000;76469999
75195000;75199999
15374000;15379999
11350461;11350469
55140000;55149999
62340000;62349999
62820000;62822999
40800162;40800162
9173000;9174999
86450000;86454999
40000000;40384999
7791801;7799999
14680000;14699969
47520000;47529999
89172000;89175999
11717900;11718130
87345000;87354999
29564000;29579999
35910000;35919999
89670000;89674999
56795000;56799999
18430000;18434999
89110001;89119999
64340000;64342999
68695000;68695999
78240000;78240999
36966000;36969999
11350560;11355060
39470000;39471999
35342000;35342999
56600000;56639999
56740000;56749999
35785000;35788999
65610000;65614999
58330000;58333999
68230000;68249999
57620000;57620999
15740000;15744999
14540000;14549999
39818000;39819999
59515000;59516999
55405000;55408999
44720000;44729999
44500000;44519999
65578000;65579999
86160000;86164999
68508971;68513489
58665000;58669999
96685000;96689999
93000000;93179999
48720000;48724999
64670000;64674999
99165000;99169999
61800001;61879999
86840000;86844999
88710000;88714999
53990000;53990999
58400001;58439999
11730000;11739999
13300000;13314999
94000001;94329999
49100000;49119999
16790000;16799999
99220000;99239999
58940000;58944999
57910000;57919999
19121000;19139999
11330090;11330090
62762000;62763999
49810000;49819999
63430000;63459999
49995000;49999999
96495000;96499999
39650000;39654999
68709000;68709999
65919050;65919999
78450000;78452999
98140000;98149999
62940000;62954999
63280000;63289999
17890000;17899999
17460000;17469999
57130000;57139999
29345000;29349999
11443290;11443450
37805000;37809999
78400000;78449999
38465000;38469999
76949000;76949999
39970000;39979999
37653000;37654999
64773000;64774999
65927000;65928999
77630000;77634999
66000000;66999999
64224000;64224999
85580001;85584999
65230000;65232999
65250000;65254999
61940000;61999999
99315000;99319999
96925000;96929999
